Franchise ID,names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
39,The Hunger Games: Mockingjay - Part 1,11/20/2014,68,"Science Fiction, Adventure, Thriller",Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,"Jennifer Lawrence, Katniss Everdeen, Josh Hutcherson, Peeta Mellark, Liam Hemsworth, Gale Hawthorne, Woody Harrelson, Haymitch Abernathy, Elizabeth Banks, Effie Trinket, Julianne Moore, President Alma Coin, Philip Seymour Hoffman, Plutarch Heavensbee, Jeffrey Wright, Beetee, Stanley Tucci, Caesar Flickerman",The Hunger Games: Mockingjay - Part 1, Released, English,125000000,766575131,AU
39,The Hunger Games: Mockingjay - Part 2,11/19/2015,69,"Action, Adventure, Science Fiction","With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends â€“ including Gale, Finnick, and Peeta â€“ Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.","Jennifer Lawrence, Katniss Everdeen, Josh Hutcherson, Peeta Mellark, Liam Hemsworth, Gale Hawthorne, Woody Harrelson, Haymitch Abernathy, Elizabeth Banks, Effie Trinket, Julianne Moore, President Alma Coin, Philip Seymour Hoffman, Plutarch Heavensbee, Jeffrey Wright, Beetee, Stanley Tucci, Caesar Flickerman",The Hunger Games: Mockingjay - Part 2, Released, English,160000000,647396133,AU
40,The Lord of the Rings,3/7/1980,66,"Adventure, Animation, Fantasy",The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.,"Christopher Guard, Frodo (voice), William Squire, Gandalf (voice), Michael Scholes, Sam (voice), John Hurt, Aragorn (voice), Simon Chandler, Merry (voice), Dominic Guard, Pippin (voice), Norman Bird, Bilbo (voice), Michael Graham Cox, Boromir (voice), Anthony Daniels, Legolas (voice)",The Lord of the Rings, Released, English,4000000,30471420,AU
40,The Lord of the Rings: The Fellowship of the Ring,12/26/2001,84,"Adventure, Fantasy, Action","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","Elijah Wood, Frodo, Ian McKellen, Gandalf, Liv Tyler, Arwen, Viggo Mortensen, Aragorn, Sean Astin, Sam, Sean Bean, Boromir, Cate Blanchett, Galadriel, John Rhys-Davies, Gimli, Billy Boyd, Pippin",The Lord of the Rings: The Fellowship of the Ring, Released, English,93000000,891216824,AU
40,The Lord of the Rings: The Return of the King,12/26/2003,85,"Adventure, Fantasy, Action","Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.","Elijah Wood, Frodo, Ian McKellen, Gandalf, Liv Tyler, Arwen, Viggo Mortensen, Aragorn, Sean Astin, Sam, Andy Serkis, Gollum / SmÃ©agol, Cate Blanchett, Galadriel, John Rhys-Davies, Gimli / Treebeard (voice), Bernard Hill, ThÃ©oden",The Lord of the Rings: The Return of the King, Released, English,94000000,1121386981,AU
40,The Lord of the Rings: The Two Towers,12/26/2002,84,"Adventure, Fantasy, Action","Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.","Elijah Wood, Frodo, Ian McKellen, Gandalf, Liv Tyler, Arwen, Viggo Mortensen, Aragorn, Sean Astin, Sam, Andy Serkis, Gollum, Cate Blanchett, Galadriel, John Rhys-Davies, Gimli / Treebeard (voice), Bernard Hill, ThÃ©oden",The Lord of the Rings: The Two Towers, Released, English,94000000,919148764,AU
41,The Matrix,4/8/1999,82,"Action, Science Fiction","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","Keanu Reeves, Thomas A. Anderson / Neo, Laurence Fishburne, Morpheus, Carrie-Anne Moss, Trinity, Hugo Weaving, Agent Smith, Joe Pantoliano, Cypher, Marcus Chong, Tank, Anthony Ray Parker, Dozer, Matt Doran, Mouse, Gloria Foster, Oracle",The Matrix, Released, English,65000000,465974198,AU
41,The Matrix Reloaded,5/16/2003,70,"Adventure, Action, Thriller, Science Fiction","Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.","Keanu Reeves, Thomas A. Anderson / Neo, Laurence Fishburne, Morpheus, Carrie-Anne Moss, Trinity, Hugo Weaving, Agent Smith, Jada Pinkett Smith, Niobe, Gloria Foster, Oracle, Harold Perrineau, Link, Monica Bellucci, Persephone, Harry Lennix, Commander Lock",The Matrix Reloaded, Released, English,150000000,738576929,AU
41,The Matrix Resurrections,12/26/2021,65,"Science Fiction, Action, Adventure","Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.","Keanu Reeves, Thomas A. Anderson / Neo, Carrie-Anne Moss, Tiffany / Trinity, Yahya Abdul-Mateen II, Morpheus, Jessica Henwick, Bugs, Jonathan Groff, Smith, Neil Patrick Harris, The Analyst, Priyanka Chopra Jonas, Sati, Christina Ricci, Gwyn de Vere, Jada Pinkett Smith, Niobe",The Matrix Resurrections, Released, English,190000000,159197755,AU
41,The Matrix Revolutions,11/5/2003,67,"Adventure, Action, Thriller, Science Fiction",The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,"Keanu Reeves, Thomas A. Anderson / Neo, Laurence Fishburne, Morpheus, Carrie-Anne Moss, Trinity, Hugo Weaving, Agent Smith, Jada Pinkett Smith, Niobe, Mary Alice, Oracle, Harold Perrineau, Link, Monica Bellucci, Persephone, Harry Lennix, Commander Lock",The Matrix Revolutions, Released, English,150000000,427300260,AU
